,y,v_t,a_t,a_t_lower,a_t_upper,a_t_lower_5,a_t_upper_5,F_t,P_t,K_t,P_tt,a_tt,a_t1,P_t1,L_t,R_t,a_hat_t,a_hat_t_lower,a_hat_t_upper,N_t,V_t,D_t,e_t,e_t_std,eta_t,eta_t_std,error,u_t,u_star,r_star
10,995,-167.8548238174476,1162.8548238174476,1040.643572848521,1285.0660747863742,1112.7407986017474,1212.9688490331478,20619.36591420543,5520.365914205433,0.267727239391113,4042.4135875664147,1117.9155152183207,1162.8548238174476,5520.365914205433,0.732272760608887,-0.010847543413025126,1074.0652583337915,994.6651871468905,1153.4653295206924,0.00010478147712042013,2330.168194098654,5.600861019218693e-05,-79.0652583337914,48.27181573235725,-15.936126028075211,35.25556513525132,-1.168950641580143,-0.005236456608635765,-0.6996971598699011,-1.0597151389723318
11,935,-182.9155152183207,1117.9155152183207,995.8022910818732,1240.028739354768,1067.8416869494297,1167.9893434872117,20610.513587566413,5511.513587566415,0.267412724294814,4037.664724127396,1069.001578978,1117.9155152183207,5511.513587566415,0.732587275705186,-0.0026927561883270555,1058.1291323057162,978.7559625936632,1137.5023020177691,0.00010483364159886386,2328.5894967245235,5.6015534916952914e-05,-123.12913230571617,48.25546079693493,-3.955928116271277,35.25396841164745,-1.2741076921547825,-0.008154787224698071,-1.0895781615617957,-0.2629945183995472
12,1110,40.998421022,1069.001578978,946.9409741433261,1191.0621838126738,1018.9493278142855,1119.0538301417146,20605.764724127395,5506.764724127395,0.2672438901371856,4035.1154971813644,1079.9581565014014,1069.001578978,5506.764724127395,0.7327561098628144,-0.00639013984357278,1054.1732041894447,974.8144902159016,1133.5319181629877,0.0001048616653277713,2327.741391106306,5.601925500800702e-05,55.826795810555176,48.24667233194748,-9.38775444419277,35.25311059214105,0.2856095747627238,0.0036973836552457234,0.4939987529384966,-0.6240249974956814
13,994,-85.95815650140139,1079.9581565014014,957.9258074773431,1201.9905055254596,1029.9174919338018,1129.998821069001,20603.215497181365,5504.215497181364,0.26715322654050633,4033.7465675351054,1056.9941576445783,1079.9581565014014,5504.215497181364,0.7328467734594937,-0.0030266422778232605,1044.785449745252,965.4345027509322,1124.1363967395716,0.00010487672019662662,2327.2857729799703,5.602125351017403e-05,-50.785449745251995,48.241950343865376,-4.446440170350152,35.25264974691415,-0.5988521186041892,-0.0033634975657495193,-0.4493810002813062,-0.29554359081186826
14,1020,-36.99415764457831,1056.9941576445783,934.9769846332107,1179.011330655946,1006.9597161626327,1107.0285991265239,20601.846567535104,5502.846567535105,0.2671045311155082,4033.011315313057,1047.11285051291,1056.9941576445783,5502.846567535105,0.7328954688844918,-0.001679598793161896,1040.3390095749019,960.9922354603392,1119.6857836894646,0.00010488480795243528,2327.0410064407724,5.602232714274204e-05,-20.339009574901947,48.23941341310829,-2.4674985870341413,35.25240216979164,-0.2577389581706202,-0.0013470434846613649,-0.17997038388161637,-0.1640020437887497
15,960,-87.11285051290997,1047.11285051291,925.1038293183706,1169.1218717074494,997.0817517702855,1097.1439492555346,20601.111315313057,5502.111315313057,0.2670783741274807,4032.6163709508314,1023.8468920323118,1047.11285051291,5502.111315313057,0.7329216258725193,0.0034777964639986936,1037.8715109878679,958.5269787126098,1117.2160432631258,0.00010488915284541636,2326.9095132993716,5.602290391814417e-05,-77.87151098786775,48.238050471586966,5.109230785260481,35.252269166034615,-0.6069276183678383,-0.00515739525716059,-0.6890450359297073,0.3395774734167354
16,1180,156.15310796768824,1023.8468920323118,901.8422498513046,1145.851534213319,973.81758895083,1073.8761951137935,20600.71637095083,5501.716370950831,0.26706432300135097,4032.404212997398,1065.5498160962593,1023.8468920323118,5501.716370950831,0.732935676998649,-0.0055969275724852925,1042.9807417731283,963.6374138818336,1122.324069664423,0.00010489148700280979,2326.838872735951,5.602321377262738e-05,137.01925822687173,48.23731825812823,-8.222446296738143,35.25219771373316,1.0879513393067226,0.009074724036483987,1.212409742930185,-0.546486660887868
17,799,-266.5498160962593,1065.5498160962593,943.547526317938,1187.5521058745803,1015.521477642556,1115.5781545499626,20600.5042129974,5501.504212997398,0.26705677473303563,4032.290241694105,994.3658819039085,1065.5498160962593,5501.504212997398,0.7329432252669643,0.010017238629010845,1034.7582954763902,955.4156146101301,1114.1009763426503,0.00010489274095561393,2326.8009233102453,5.602338023222397e-05,-235.75829547639017,48.23692489483804,14.716325269879832,35.25215932816687,-1.8571178406737254,-0.015614166201496136,-2.0860952939452972,0.9780820811382691
18,958,-36.36588190390853,994.3658819039085,872.3648558556007,1116.3669079522163,944.3380616561581,1044.393702151659,20600.390241694105,5501.3902416941055,0.26705271973729805,4032.229015313463,984.6542742358243,994.3658819039085,5501.3902416941055,0.732947280262702,0.016075561746188804,1049.47462074627,970.132287476082,1128.8169540164579,0.00010489341460240375,2326.780536172294,5.6023469657418054e-05,-91.47462074627002,48.23671357143118,23.61660776132597,35.25213870670881,-0.2533707052758173,-0.00605832311717796,-0.8094078860317967,1.5696110456739487
19,1140,155.34572576417565,984.6542742358243,862.6539270797342,1106.6546213919144,934.626732375059,1034.6818160965897,20600.329015313462,5501.329015313463,0.2670505413396065,4032.1961236867182,1026.1394343959414,984.6542742358243,5501.329015313463,0.7329494586603935,0.01164422381040471,1073.091228507596,993.7490819731177,1152.4333750420744,0.00010489377649799977,2326.7695838222626,5.602351769829704e-05,66.90877149240401,48.2366000441808,17.10652919986556,35.252127628472685,1.0823363143938176,0.004431337935784093,0.592038137232903,1.1369351236953777
